session_date,observer_id,session_id,location _d,participant_id,Gender,session_start,session_end,observer/session/task id,What,start_time,end_time,elapsed_time,total_time,total_time(fixed_sec),Who,How,Where,ended by,multi_with,num_of_multitask_fragments,num_of_tasks_in_multi_1,multi_task_id_1,multi_start_1,multi_end_1,num_of_tasks_in_multi_2,multi_task_id_2,multi_start_2,multi_end_2,total_overlapping_time,is_interrupting_task?,interrupted_by,num_of_interrupts,int_task_id_1,int_start_1,int_end_1,int_task_id_2,int_start_2,int_end_2,active_1,active_2,active_3,inactive_1,inactive_2,is_session_complete?
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_3,Off-Screen,12:20:43,12:22:43,0:02:00,0:02:00,120,0,0,Off-Screen,10020_10087_4,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:02:00,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_12,Off-Screen,12:29:43,12:31:40,0:01:57,0:01:57,117,0,0,Off-Screen,10020_10087_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:57,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_12,Off-Screen,0:49:15,0:51:11,0:01:56,0:01:56,116,0,0,Off-Screen,10040_10221_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:56,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_14,Off-Screen,12:31:56,12:33:50,0:01:54,0:01:54,114,0,0,Off-Screen,10020_10087_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:54,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_14,Off-Screen,0:51:29,0:53:18,0:01:49,0:01:49,109,0,0,Off-Screen,10040_10221_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:49,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_23,Off-Screen,0:58:22,1:00:08,0:01:46,0:01:46,106,0,0,Off-Screen,user,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:46,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_1,Off-Screen,12:18:45,12:20:30,0:01:45,0:01:45,105,0,0,Off-Screen,10020_10087_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:45,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_21,Off-Screen,12:38:51,12:40:34,0:01:43,0:01:43,103,0,0,Off-Screen,session,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:43,,,,,TRUE
30-Jun-21,10040,10221,Season 1 Episode 14,Bob Kelso,M,0:37:03,1:00:08,10040_10221_16,Off-Screen,0:53:28,0:54:47,0:01:19,0:01:19,79,0,0,Off-Screen,10040_10221_17,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:19,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_16,Off-Screen,12:33:59,12:35:14,0:01:15,0:01:15,75,0,0,Off-Screen,10020_10087_17,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:15,,,,,TRUE
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_10,Professional Communication,17:54:55,17:56:03,0:01:08,0:01:08,68,Doctor(s),Talking,Hospital,10020_10045_11,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:08,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_10,Professional Communication,17:54:55,17:56:03,0:01:08,0:01:08,68,Doctor(s),Talking,Hospital,10020_10063_11,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:08,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_8,Professional Communication,23:04:39,23:05:47,0:01:08,0:01:08,68,Doctor(s),Talking,Hospital,10040_10141_9,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:08,,,,,TRUE
3-Jun-21,10020,10086,S1E15,Bob Kelso,M,12:44:51,13:12:48,10020_10086_9,Social,13:05:02,13:06:08,0:01:06,0:01:06,66,Other,Talking,Hospital,10020_10086_10,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:06,,,,,TRUE
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_13,Off-Screen,17:56:30,17:57:35,0:01:05,0:01:05,65,0,0,Off-Screen,10020_10045_14,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:05,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_13,Off-Screen,17:56:30,17:57:35,0:01:05,0:01:05,65,0,0,Off-Screen,10020_10063_14,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:05,,,,,TRUE
30-Jun-21,10040,10220,Season 1 Episode 15,Bob Kelso,M,1:02:17,1:30:18,10040_10220_7,Social,1:22:38,1:23:43,0:01:05,0:01:05,65,Other,Talking,Hospital,10040_10220_8,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:05,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_11,Off-Screen,23:06:14,23:07:18,0:01:04,0:01:04,64,0,0,Off-Screen,10040_10141_12,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:04,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_8,Social,12:25:26,12:26:26,0:01:00,0:01:00,60,Other,Talking,Community,10020_10087_9,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:01:00,,,,,TRUE
3-Jun-21,10020,10087,S1E14,Bob Kelso,M,12:18:45,12:40:34,10020_10087_17,Professional Communication,12:35:14,12:36:09,0:00:55,0:00:55,55,Nurse,Talking,Hospital,10020_10087_19,10020_10087_18,1,2,10020_10087_18,12:35:17,12:35:29,,,,,0:00:12,FALSE,,0,,,,,,,0:00:55,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_1,Off-Screen,13:27:10,13:28:03,0:00:53,0:00:53,53,0,0,Off-Screen,10020_10064_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:53,,,,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_1,Off-Screen,13:27:10,13:28:03,0:00:53,0:00:53,53,0,0,Off-Screen,10020_10046_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:53,,,,,TRUE
1-Jun-21,10040,10040,Season1 Episode 1,Bob Kelso,M,1:34:14,1:59:51,10040_10040_13,Indirect Care,1:56:23,1:57:12,0:00:49,0:00:49,49,Doctor(s),Talking,Hospital,10040_10040_14,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:49,,,,,TRUE
31-May-21,10020,10045,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10045_14,Professional Communication,17:57:35,17:58:21,0:00:46,0:00:46,46,Doctor(s),Talking,Hospital,10020_10045_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:46,,,,,TRUE
31-May-21,10020,10063,S1E7,Bob Kelso,M,17:45:53,18:07:02,10020_10063_14,Professional Communication,17:57:35,17:58:21,0:00:46,0:00:46,46,Doctor(s),Talking,Hospital,10020_10063_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:46,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_4,Professional Communication,13:28:40,13:29:25,0:00:45,0:00:45,45,Doctor(s),Talking,Hospital,10020_10064_6,10020_10064_5,1,2,10020_10064_5,13:28:48,13:29:23,,,,,0:00:35,FALSE,,0,,,,,,,0:00:45,,,,,TRUE
31-May-21,10020,10046,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10046_4,Professional Communication,13:28:40,13:29:25,0:00:45,0:00:45,45,Doctor(s),Talking,Hospital,10020_10046_6,10020_10046_5,1,2,10020_10046_5,13:28:48,13:29:23,,,,,0:00:35,FALSE,,0,,,,,,,0:00:45,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_12,Professional Communication,23:07:18,23:08:03,0:00:45,0:00:45,45,Doctor(s),Talking,Hospital,10040_10141_13,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:45,,,,,TRUE
12-Apr-21,10040,10000,Episode 1 Season 1,Bob Kelso,M,23:20:18,23:43:38,10040_10000_14,Direct Care,23:40:24,23:41:08,0:00:44,0:00:44,44,Doctor(s),Talking,Hospital,10040_10000_15,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:44,,,,,TRUE
19-Jun-21,10040,10141,Season 1 Episode 7,Bob Kelso,M,22:54:43,23:16:50,10040_10141_1,Off-Screen,22:54:43,22:55:27,0:00:44,0:00:44,44,0,0,Off-Screen,10040_10141_2,,0,,,,,,,,,0:00:00,FALSE,,0,,,,,,,0:00:44,,,,,TRUE
17-Jun-21,10040,10120,Season 1 Episode 6,Bob Kelso,M,0:48:13,1:10:16,10040_10120_9,Professional Communication,0:55:14,0:55:57,0:00:43,0:00:43,43,Doctor(s),Talking,Hospital,10040_10120_11,10040_10120_10,1,2,10040_10120_10,0:55:17,0:55:46,,,,,0:00:29,FALSE,,0,,,,,,,0:00:43,,,,,TRUE
31-May-21,10020,10064,S1E6,Bob Kelso,M,13:27:10,13:48:37,10020_10064_9,Professional Communication,13:33:36,13:34:18,0:00:42,0:00:42,42,Doctor(s),Talking,Hospital,10020_10064_11,10020_10064_10,1,2,10020_10064_10,13:33:39,13:33:50,,,,,0:00:11,FALSE,,0,,,,,,,0:00:42,,,,,TRUE
